'SV004619','NS038', 'HP030', 1, 2023, 'CTTT'
'SV007979','NS039', 'HP057', 1, 2025, 'CLC'
'SV003077','NS039', 'HP057', 1, 2025, 'CLC'
'SV000020','NS039', 'HP057', 1, 2025, 'CLC'
'SV004473','NS040', 'HP041', 1, 2024, 'CLC'
'SV003989','NS040', 'HP041', 1, 2024, 'CLC'
'SV004816','NS040', 'HP041', 1, 2024, 'CLC'
'SV004340','NS040', 'HP041', 1, 2024, 'CLC'
'SV002716','NS040', 'HP041', 1, 2024, 'CLC'
'SV007680','NS040', 'HP041', 1, 2024, 'CLC'
'SV002158','NS040', 'HP041', 1, 2024, 'CLC'
'SV001735','NS040', 'HP041', 1, 2024, 'CLC'
'SV001312','NS040', 'HP041', 1, 2024, 'CLC'
'SV006471','NS040', 'HP041', 1, 2024, 'CLC'
'SV003958','NS040', 'HP041', 1, 2024, 'CLC'
'SV007580','NS040', 'HP041', 1, 2024, 'CLC'
'SV003969','NS040', 'HP041', 1, 2024, 'CLC'
'SV006663','NS040', 'HP041', 1, 2024, 'CLC'
'SV000044','NS040', 'HP041', 1, 2024, 'CLC'
'SV005832','NS040', 'HP041', 1, 2024, 'CLC'
'SV002691','NS040', 'HP041', 1, 2024, 'CLC'
'SV005722','NS040', 'HP041', 1, 2024, 'CLC'
'SV003289','NS040', 'HP041', 1, 2024, 'CLC'
'SV001186','NS040', 'HP041', 1, 2024, 'CLC'
'SV005670','NS040', 'HP041', 1, 2024, 'CLC'
'SV006232','NS040', 'HP041', 1, 2024, 'CLC'
'SV000513','NS040', 'HP041', 1, 2024, 'CLC'
'SV000394','NS040', 'HP041', 1, 2024, 'CLC'
'SV002844','NS040', 'HP041', 1, 2024, 'CLC'
'SV007414','NS040', 'HP041', 1, 2024, 'CLC'
'SV004145','NS040', 'HP041', 1, 2024, 'CLC'
'SV003440','NS040', 'HP041', 1, 2024, 'CLC'
'SV004838','NS040', 'HP041', 1, 2024, 'CLC'
'SV000872','NS040', 'HP041', 1, 2024, 'CLC'
'SV004823','NS041', 'HP067', 3, 2021, 'CQ'
'SV003297','NS041', 'HP067', 3, 2021, 'CQ'
'SV006155','NS041', 'HP067', 3, 2021, 'CQ'
'SV006249','NS041', 'HP067', 3, 2021, 'CQ'
'SV002163','NS041', 'HP067', 3, 2021, 'CQ'
'SV001418','NS041', 'HP067', 3, 2021, 'CQ'
'SV004851','NS041', 'HP067', 3, 2021, 'CQ'
'SV000841','NS041', 'HP067', 3, 2021, 'CQ'
'SV002288','NS041', 'HP067', 3, 2021, 'CQ'
'SV001950','NS041', 'HP067', 3, 2021, 'CQ'
'SV007875','NS041', 'HP067', 3, 2021, 'CQ'
'SV007192','NS041', 'HP067', 3, 2021, 'CQ'
'SV004788','NS041', 'HP067', 3, 2021, 'CQ'
'SV005261','NS041', 'HP067', 3, 2021, 'CQ'
'SV006676','NS041', 'HP067', 3, 2021, 'CQ'
'SV004734','NS041', 'HP067', 3, 2021, 'CQ'
'SV006290','NS041', 'HP067', 3, 2021, 'CQ'
'SV007054','NS041', 'HP067', 3, 2021, 'CQ'
'SV006305','NS041', 'HP067', 3, 2021, 'CQ'
'SV004659','NS041', 'HP067', 3, 2021, 'CQ'
'SV005394','NS041', 'HP067', 3, 2021, 'CQ'
'SV007967','NS041', 'HP067', 3, 2021, 'CQ'
'SV006735','NS041', 'HP067', 3, 2021, 'CQ'
'SV007556','NS041', 'HP067', 3, 2021, 'CQ'
'SV004948','NS041', 'HP067', 3, 2021, 'CQ'
'SV004351','NS041', 'HP067', 3, 2021, 'CQ'
'SV002275','NS041', 'HP067', 3, 2021, 'CQ'
'SV000788','NS041', 'HP067', 3, 2021, 'CQ'
'SV005608','NS041', 'HP067', 3, 2021, 'CQ'
'SV000402','NS042', 'HP038', 3, 2023, 'VP'
'SV003596','NS042', 'HP038', 3, 2023, 'VP'
'SV004081','NS042', 'HP038', 3, 2023, 'VP'
'SV005586','NS042', 'HP038', 3, 2023, 'VP'
'SV004995','NS042', 'HP038', 3, 2023, 'VP'
'SV004588','NS042', 'HP038', 3, 2023, 'VP'
'SV002048','NS042', 'HP038', 3, 2023, 'VP'
'SV003196','NS042', 'HP038', 3, 2023, 'VP'
'SV002994','NS042', 'HP038', 3, 2023, 'VP'
'SV004785','NS042', 'HP038', 3, 2023, 'VP'
'SV005601','NS042', 'HP038', 3, 2023, 'VP'
'SV000455','NS042', 'HP038', 3, 2023, 'VP'
'SV005245','NS042', 'HP038', 3, 2023, 'VP'
'SV001038','NS042', 'HP038', 3, 2023, 'VP'
'SV003599','NS042', 'HP038', 3, 2023, 'VP'
'SV000692','NS042', 'HP038', 3, 2023, 'VP'
'SV006647','NS042', 'HP038', 3, 2023, 'VP'
'SV005603','NS042', 'HP038', 3, 2023, 'VP'
'SV000897','NS042', 'HP038', 3, 2023, 'VP'
'SV000918','NS042', 'HP038', 3, 2023, 'VP'
'SV004372','NS042', 'HP038', 3, 2023, 'VP'
'SV006417','NS042', 'HP038', 3, 2023, 'VP'
'SV001719','NS042', 'HP038', 3, 2023, 'VP'
'SV001821','NS042', 'HP038', 3, 2023, 'VP'
'SV006772','NS042', 'HP038', 3, 2023, 'VP'
'SV004870','NS042', 'HP038', 3, 2023, 'VP'
'SV003717','NS042', 'HP038', 3, 2023, 'VP'
'SV007032','NS042', 'HP038', 3, 2023, 'VP'
'SV005861','NS042', 'HP038', 3, 2023, 'VP'
'SV001905','NS042', 'HP038', 3, 2023, 'VP'
'SV004724','NS043', 'HP043', 2, 2023, 'CLC'
'SV002730','NS043', 'HP043', 2, 2023, 'CLC'
'SV001163','NS043', 'HP043', 2, 2023, 'CLC'
'SV007696','NS043', 'HP043', 2, 2023, 'CLC'
'SV007917','NS043', 'HP043', 2, 2023, 'CLC'
'SV007742','NS043', 'HP043', 2, 2023, 'CLC'
'SV007021','NS043', 'HP043', 2, 2023, 'CLC'
'SV003644','NS043', 'HP043', 2, 2023, 'CLC'
'SV003717','NS043', 'HP043', 2, 2023, 'CLC'
'SV002916','NS043', 'HP043', 2, 2023, 'CLC'
'SV006345','NS043', 'HP043', 2, 2023, 'CLC'
'SV004484','NS043', 'HP043', 2, 2023, 'CLC'
'SV001978','NS043', 'HP043', 2, 2023, 'CLC'
'SV007323','NS043', 'HP043', 2, 2023, 'CLC'
'SV003367','NS043', 'HP043', 2, 2023, 'CLC'
'SV005926','NS043', 'HP043', 2, 2023, 'CLC'
'SV005055','NS043', 'HP043', 2, 2023, 'CLC'
'SV000874','NS043', 'HP043', 2, 2023, 'CLC'
'SV000300','NS043', 'HP043', 2, 2023, 'CLC'
'SV007178','NS043', 'HP043', 2, 2023, 'CLC'
'SV005729','NS043', 'HP043', 2, 2023, 'CLC'
'SV002486','NS043', 'HP043', 2, 2023, 'CLC'
'SV005855','NS043', 'HP043', 2, 2023, 'CLC'
'SV006467','NS043', 'HP043', 2, 2023, 'CLC'
'SV001111','NS043', 'HP043', 2, 2023, 'CLC'
'SV004069','NS043', 'HP043', 2, 2023, 'CLC'
'SV006710','NS043', 'HP043', 2, 2023, 'CLC'
'SV000714','NS043', 'HP043', 2, 2023, 'CLC'
'SV007790','NS043', 'HP043', 2, 2023, 'CLC'
'SV005809','NS043', 'HP043', 2, 2023, 'CLC'
'SV001055','NS044', 'HP034', 3, 2023, 'CTTT'
'SV003115','NS044', 'HP034', 3, 2023, 'CTTT'
'SV007401','NS044', 'HP034', 3, 2023, 'CTTT'
'SV003086','NS044', 'HP034', 3, 2023, 'CTTT'
'SV007497','NS044', 'HP034', 3, 2023, 'CTTT'
'SV005029','NS044', 'HP034', 3, 2023, 'CTTT'
'SV006218','NS044', 'HP034', 3, 2023, 'CTTT'
'SV007726','NS044', 'HP034', 3, 2023, 'CTTT'
'SV001990','NS044', 'HP034', 3, 2023, 'CTTT'
'SV003674','NS044', 'HP034', 3, 2023, 'CTTT'
'SV005209','NS044', 'HP034', 3, 2023, 'CTTT'
'SV005391','NS044', 'HP034', 3, 2023, 'CTTT'
'SV001879','NS044', 'HP034', 3, 2023, 'CTTT'
'SV005628','NS044', 'HP034', 3, 2023, 'CTTT'
'SV005546','NS044', 'HP034', 3, 2023, 'CTTT'
'SV002854','NS044', 'HP034', 3, 2023, 'CTTT'
'SV001409','NS044', 'HP034', 3, 2023, 'CTTT'
'SV007611','NS044', 'HP034', 3, 2023, 'CTTT'
'SV000980','NS044', 'HP034', 3, 2023, 'CTTT'
'SV004167','NS044', 'HP034', 3, 2023, 'CTTT'
'SV007856','NS044', 'HP034', 3, 2023, 'CTTT'
'SV002220','NS044', 'HP034', 3, 2023, 'CTTT'
'SV005560','NS044', 'HP034', 3, 2023, 'CTTT'
'SV000874','NS044', 'HP034', 3, 2023, 'CTTT'
'SV002993','NS044', 'HP034', 3, 2023, 'CTTT'
'SV002362','NS044', 'HP034', 3, 2023, 'CTTT'
'SV000166','NS044', 'HP034', 3, 2023, 'CTTT'
'SV001012','NS044', 'HP034', 3, 2023, 'CTTT'
'SV000646','NS044', 'HP034', 3, 2023, 'CTTT'
'SV007984','NS044', 'HP034', 3, 2023, 'CTTT'
'SV006583','NS045', 'HP013', 3, 2025, 'CLC'
'SV001803','NS045', 'HP013', 3, 2025, 'CLC'
'SV006588','NS045', 'HP013', 3, 2025, 'CLC'
'SV001852','NS045', 'HP013', 3, 2025, 'CLC'
'SV002235','NS045', 'HP013', 3, 2025, 'CLC'
'SV001891','NS045', 'HP013', 3, 2025, 'CLC'
'SV003936','NS045', 'HP013', 3, 2025, 'CLC'
'SV003872','NS045', 'HP013', 3, 2025, 'CLC'
'SV005939','NS045', 'HP013', 3, 2025, 'CLC'
'SV001130','NS045', 'HP013', 3, 2025, 'CLC'
'SV006015','NS045', 'HP013', 3, 2025, 'CLC'
'SV006954','NS045', 'HP013', 3, 2025, 'CLC'
'SV000386','NS045', 'HP013', 3, 2025, 'CLC'
'SV001257','NS045', 'HP013', 3, 2025, 'CLC'
'SV006564','NS045', 'HP013', 3, 2025, 'CLC'
'SV004810','NS045', 'HP013', 3, 2025, 'CLC'
'SV000142','NS045', 'HP013', 3, 2025, 'CLC'
'SV000551','NS045', 'HP013', 3, 2025, 'CLC'
'SV005491','NS045', 'HP013', 3, 2025, 'CLC'
'SV005948','NS045', 'HP013', 3, 2025, 'CLC'
'SV004520','NS045', 'HP013', 3, 2025, 'CLC'
'SV001286','NS045', 'HP013', 3, 2025, 'CLC'
'SV006415','NS045', 'HP013', 3, 2025, 'CLC'
'SV006553','NS045', 'HP013', 3, 2025, 'CLC'
'SV005676','NS045', 'HP013', 3, 2025, 'CLC'
'SV004065','NS045', 'HP013', 3, 2025, 'CLC'
'SV001895','NS045', 'HP013', 3, 2025, 'CLC'
'SV004616','NS045', 'HP013', 3, 2025, 'CLC'
'SV003260','NS045', 'HP013', 3, 2025, 'CLC'
'SV002929','NS045', 'HP013', 3, 2025, 'CLC'
'SV005555','NS046', 'HP023', 3, 2023, 'CTTT'
'SV005530','NS046', 'HP023', 3, 2023, 'CTTT'
'SV004250','NS046', 'HP023', 3, 2023, 'CTTT'
'SV000243','NS046', 'HP023', 3, 2023, 'CTTT'
'SV001442','NS046', 'HP023', 3, 2023, 'CTTT'
'SV007859','NS046', 'HP023', 3, 2023, 'CTTT'
'SV000263','NS046', 'HP023', 3, 2023, 'CTTT'
'SV004513','NS046', 'HP023', 3, 2023, 'CTTT'
'SV006565','NS046', 'HP023', 3, 2023, 'CTTT'
'SV002952','NS046', 'HP023', 3, 2023, 'CTTT'
'SV003343','NS046', 'HP023', 3, 2023, 'CTTT'
'SV005613','NS046', 'HP023', 3, 2023, 'CTTT'
'SV007045','NS046', 'HP023', 3, 2023, 'CTTT'
'SV001174','NS046', 'HP023', 3, 2023, 'CTTT'
'SV005062','NS046', 'HP023', 3, 2023, 'CTTT'
'SV003953','NS046', 'HP023', 3, 2023, 'CTTT'
'SV000446','NS046', 'HP023', 3, 2023, 'CTTT'
'SV003169','NS046', 'HP023', 3, 2023, 'CTTT'
'SV004299','NS046', 'HP023', 3, 2023, 'CTTT'
'SV002169','NS046', 'HP023', 3, 2023, 'CTTT'
'SV007798','NS046', 'HP023', 3, 2023, 'CTTT'
'SV000104','NS046', 'HP023', 3, 2023, 'CTTT'
'SV003451','NS046', 'HP023', 3, 2023, 'CTTT'
'SV007781','NS046', 'HP023', 3, 2023, 'CTTT'
'SV006951','NS046', 'HP023', 3, 2023, 'CTTT'
'SV001271','NS046', 'HP023', 3, 2023, 'CTTT'
'SV006408','NS046', 'HP023', 3, 2023, 'CTTT'
'SV000252','NS046', 'HP023', 3, 2023, 'CTTT'
'SV007956','NS046', 'HP023', 3, 2023, 'CTTT'
'SV000594','NS046', 'HP023', 3, 2023, 'CTTT'
'SV005373','NS047', 'HP053', 3, 2020, 'CLC'
'SV004273','NS047', 'HP053', 3, 2020, 'CLC'
'SV004020','NS047', 'HP053', 3, 2020, 'CLC'
'SV005169','NS047', 'HP053', 3, 2020, 'CLC'
'SV004983','NS047', 'HP053', 3, 2020, 'CLC'
'SV005083','NS047', 'HP053', 3, 2020, 'CLC'
'SV001487','NS047', 'HP053', 3, 2020, 'CLC'
'SV003852','NS047', 'HP053', 3, 2020, 'CLC'
'SV000466','NS047', 'HP053', 3, 2020, 'CLC'
'SV003889','NS047', 'HP053', 3, 2020, 'CLC'
'SV007526','NS047', 'HP053', 3, 2020, 'CLC'
'SV003626','NS047', 'HP053', 3, 2020, 'CLC'
'SV007189','NS047', 'HP053', 3, 2020, 'CLC'
'SV000462','NS047', 'HP053', 3, 2020, 'CLC'
'SV004381','NS047', 'HP053', 3, 2020, 'CLC'
'SV002227','NS047', 'HP053', 3, 2020, 'CLC'
'SV000382','NS047', 'HP053', 3, 2020, 'CLC'
'SV001387','NS047', 'HP053', 3, 2020, 'CLC'
'SV005278','NS047', 'HP053', 3, 2020, 'CLC'
'SV004850','NS047', 'HP053', 3, 2020, 'CLC'
'SV005861','NS047', 'HP053', 3, 2020, 'CLC'
'SV006336','NS047', 'HP053', 3, 2020, 'CLC'
'SV005063','NS047', 'HP053', 3, 2020, 'CLC'
'SV003249','NS047', 'HP053', 3, 2020, 'CLC'
'SV005700','NS047', 'HP053', 3, 2020, 'CLC'
'SV001436','NS047', 'HP053', 3, 2020, 'CLC'
'SV005394','NS047', 'HP053', 3, 2020, 'CLC'
'SV003422','NS047', 'HP053', 3, 2020, 'CLC'
'SV007913','NS047', 'HP053', 3, 2020, 'CLC'
'SV001126','NS047', 'HP053', 3, 2020, 'CLC'
'SV007194','NS038', 'HP032', 2, 2020, 'CLC'
'SV002811','NS038', 'HP032', 2, 2020, 'CLC'
'SV006464','NS038', 'HP032', 2, 2020, 'CLC'
'SV000818','NS038', 'HP032', 2, 2020, 'CLC'
'SV004268','NS038', 'HP032', 2, 2020, 'CLC'
'SV004144','NS038', 'HP032', 2, 2020, 'CLC'
'SV001802','NS038', 'HP032', 2, 2020, 'CLC'
'SV003388','NS038', 'HP032', 2, 2020, 'CLC'
'SV003626','NS038', 'HP032', 2, 2020, 'CLC'
'SV005192','NS038', 'HP032', 2, 2020, 'CLC'
'SV003001','NS038', 'HP032', 2, 2020, 'CLC'
'SV000488','NS038', 'HP032', 2, 2020, 'CLC'
'SV002498','NS038', 'HP032', 2, 2020, 'CLC'
'SV007212','NS038', 'HP032', 2, 2020, 'CLC'
'SV006120','NS038', 'HP032', 2, 2020, 'CLC'
'SV000778','NS038', 'HP032', 2, 2020, 'CLC'
'SV002678','NS038', 'HP032', 2, 2020, 'CLC'
'SV007130','NS038', 'HP032', 2, 2020, 'CLC'
'SV000542','NS038', 'HP032', 2, 2020, 'CLC'
'SV002911','NS038', 'HP032', 2, 2020, 'CLC'
'SV004433','NS038', 'HP032', 2, 2020, 'CLC'
'SV004502','NS038', 'HP032', 2, 2020, 'CLC'
'SV006964','NS038', 'HP032', 2, 2020, 'CLC'
'SV000975','NS038', 'HP032', 2, 2020, 'CLC'
'SV003798','NS038', 'HP032', 2, 2020, 'CLC'
'SV004580','NS038', 'HP032', 2, 2020, 'CLC'
'SV007299','NS038', 'HP032', 2, 2020, 'CLC'
'SV002286','NS038', 'HP032', 2, 2020, 'CLC'
'SV002259','NS038', 'HP032', 2, 2020, 'CLC'
'SV007642','NS038', 'HP032', 2, 2020, 'CLC'
'SV002660','NS039', 'HP009', 1, 2025, 'CLC'
'SV002684','NS039', 'HP009', 1, 2025, 'CLC'
'SV005240','NS039', 'HP009', 1, 2025, 'CLC'
'SV005448','NS039', 'HP009', 1, 2025, 'CLC'
'SV000174','NS039', 'HP009', 1, 2025, 'CLC'
'SV005291','NS039', 'HP009', 1, 2025, 'CLC'
'SV003265','NS039', 'HP009', 1, 2025, 'CLC'
'SV000619','NS039', 'HP009', 1, 2025, 'CLC'
'SV005035','NS039', 'HP009', 1, 2025, 'CLC'
'SV000550','NS039', 'HP009', 1, 2025, 'CLC'
'SV004542','NS039', 'HP009', 1, 2025, 'CLC'
'SV002133','NS039', 'HP009', 1, 2025, 'CLC'
'SV005717','NS039', 'HP009', 1, 2025, 'CLC'
'SV002285','NS039', 'HP009', 1, 2025, 'CLC'
'SV003868','NS039', 'HP009', 1, 2025, 'CLC'
'SV004566','NS039', 'HP009', 1, 2025, 'CLC'
'SV007638','NS039', 'HP009', 1, 2025, 'CLC'
'SV007130','NS039', 'HP009', 1, 2025, 'CLC'
'SV006697','NS039', 'HP009', 1, 2025, 'CLC'
'SV001764','NS039', 'HP009', 1, 2025, 'CLC'
'SV001855','NS039', 'HP009', 1, 2025, 'CLC'
'SV000329','NS039', 'HP009', 1, 2025, 'CLC'
'SV006689','NS039', 'HP009', 1, 2025, 'CLC'
'SV006900','NS039', 'HP009', 1, 2025, 'CLC'
'SV004324','NS039', 'HP009', 1, 2025, 'CLC'
'SV003714','NS039', 'HP009', 1, 2025, 'CLC'
'SV001581','NS039', 'HP009', 1, 2025, 'CLC'
'SV002024','NS039', 'HP009', 1, 2025, 'CLC'
'SV004096','NS039', 'HP009', 1, 2025, 'CLC'
'SV001301','NS039', 'HP009', 1, 2025, 'CLC'
'SV007279','NS040', 'HP008', 3, 2022, 'VP'
'SV003862','NS040', 'HP008', 3, 2022, 'VP'
'SV007656','NS040', 'HP008', 3, 2022, 'VP'
'SV000592','NS040', 'HP008', 3, 2022, 'VP'
'SV005792','NS040', 'HP008', 3, 2022, 'VP'
'SV002249','NS040', 'HP008', 3, 2022, 'VP'
'SV006980','NS040', 'HP008', 3, 2022, 'VP'
'SV004967','NS040', 'HP008', 3, 2022, 'VP'
'SV004871','NS040', 'HP008', 3, 2022, 'VP'
'SV000423','NS040', 'HP008', 3, 2022, 'VP'
'SV002215','NS040', 'HP008', 3, 2022, 'VP'
'SV002266','NS040', 'HP008', 3, 2022, 'VP'
'SV005154','NS040', 'HP008', 3, 2022, 'VP'
'SV005189','NS040', 'HP008', 3, 2022, 'VP'
'SV001035','NS040', 'HP008', 3, 2022, 'VP'
'SV004224','NS040', 'HP008', 3, 2022, 'VP'
'SV003271','NS040', 'HP008', 3, 2022, 'VP'
'SV000302','NS040', 'HP008', 3, 2022, 'VP'
'SV001720','NS040', 'HP008', 3, 2022, 'VP'
'SV007550','NS040', 'HP008', 3, 2022, 'VP'
'SV002320','NS040', 'HP008', 3, 2022, 'VP'
'SV002709','NS040', 'HP008', 3, 2022, 'VP'
'SV001582','NS040', 'HP008', 3, 2022, 'VP'
'SV005998','NS040', 'HP008', 3, 2022, 'VP'
'SV001104','NS040', 'HP008', 3, 2022, 'VP'
'SV000155','NS040', 'HP008', 3, 2022, 'VP'
'SV005001','NS040', 'HP008', 3, 2022, 'VP'
'SV001039','NS040', 'HP008', 3, 2022, 'VP'
'SV001440','NS040', 'HP008', 3, 2022, 'VP'
'SV002752','NS040', 'HP008', 3, 2022, 'VP'
'SV002428','NS041', 'HP062', 2, 2020, 'CLC'
'SV000406','NS041', 'HP062', 2, 2020, 'CLC'
'SV004723','NS041', 'HP062', 2, 2020, 'CLC'
'SV001821','NS041', 'HP062', 2, 2020, 'CLC'
'SV001429','NS041', 'HP062', 2, 2020, 'CLC'
'SV007319','NS041', 'HP062', 2, 2020, 'CLC'
'SV007677','NS041', 'HP062', 2, 2020, 'CLC'
'SV005324','NS041', 'HP062', 2, 2020, 'CLC'
'SV002096','NS041', 'HP062', 2, 2020, 'CLC'
'SV006225','NS041', 'HP062', 2, 2020, 'CLC'
'SV006196','NS041', 'HP062', 2, 2020, 'CLC'
'SV000210','NS041', 'HP062', 2, 2020, 'CLC'
'SV003217','NS041', 'HP062', 2, 2020, 'CLC'
'SV001209','NS041', 'HP062', 2, 2020, 'CLC'
'SV000308','NS041', 'HP062', 2, 2020, 'CLC'
'SV004201','NS041', 'HP062', 2, 2020, 'CLC'
'SV002132','NS041', 'HP062', 2, 2020, 'CLC'
'SV007107','NS041', 'HP062', 2, 2020, 'CLC'
'SV003497','NS041', 'HP062', 2, 2020, 'CLC'
'SV000576','NS041', 'HP062', 2, 2020, 'CLC'
'SV007015','NS041', 'HP062', 2, 2020, 'CLC'
'SV003408','NS041', 'HP062', 2, 2020, 'CLC'
'SV006916','NS041', 'HP062', 2, 2020, 'CLC'
'SV003670','NS041', 'HP062', 2, 2020, 'CLC'
'SV003360','NS041', 'HP062', 2, 2020, 'CLC'
'SV004565','NS041', 'HP062', 2, 2020, 'CLC'
'SV005742','NS041', 'HP062', 2, 2020, 'CLC'
'SV002168','NS041', 'HP062', 2, 2020, 'CLC'
'SV000982','NS041', 'HP062', 2, 2020, 'CLC'
'SV003198','NS041', 'HP062', 2, 2020, 'CLC'
'SV003196','NS042', 'HP048', 1, 2024, 'CQ'
'SV004464','NS042', 'HP048', 1, 2024, 'CQ'
'SV006068','NS042', 'HP048', 1, 2024, 'CQ'
'SV000359','NS042', 'HP048', 1, 2024, 'CQ'
'SV006999','NS042', 'HP048', 1, 2024, 'CQ'
'SV002563','NS042', 'HP048', 1, 2024, 'CQ'
'SV005502','NS042', 'HP048', 1, 2024, 'CQ'
'SV000201','NS042', 'HP048', 1, 2024, 'CQ'
'SV004054','NS042', 'HP048', 1, 2024, 'CQ'
'SV007010','NS042', 'HP048', 1, 2024, 'CQ'
'SV003463','NS042', 'HP048', 1, 2024, 'CQ'
'SV005125','NS042', 'HP048', 1, 2024, 'CQ'
'SV007369','NS042', 'HP048', 1, 2024, 'CQ'
'SV004951','NS042', 'HP048', 1, 2024, 'CQ'
'SV004666','NS042', 'HP048', 1, 2024, 'CQ'
'SV005951','NS042', 'HP048', 1, 2024, 'CQ'
'SV000878','NS042', 'HP048', 1, 2024, 'CQ'
'SV006703','NS042', 'HP048', 1, 2024, 'CQ'
'SV005370','NS042', 'HP048', 1, 2024, 'CQ'
'SV000641','NS042', 'HP048', 1, 2024, 'CQ'
'SV002739','NS042', 'HP048', 1, 2024, 'CQ'
'SV004240','NS042', 'HP048', 1, 2024, 'CQ'
'SV002383','NS042', 'HP048', 1, 2024, 'CQ'
'SV007907','NS042', 'HP048', 1, 2024, 'CQ'
'SV003895','NS042', 'HP048', 1, 2024, 'CQ'
'SV003073','NS042', 'HP048', 1, 2024, 'CQ'
'SV007543','NS042', 'HP048', 1, 2024, 'CQ'
'SV004833','NS042', 'HP048', 1, 2024, 'CQ'
'SV006832','NS042', 'HP048', 1, 2024, 'CQ'
'SV001220','NS043', 'HP028', 2, 2020, 'CLC'
'SV004874','NS043', 'HP028', 2, 2020, 'CLC'
'SV006632','NS043', 'HP028', 2, 2020, 'CLC'
'SV004506','NS043', 'HP028', 2, 2020, 'CLC'
'SV004142','NS043', 'HP028', 2, 2020, 'CLC'
'SV003836','NS043', 'HP028', 2, 2020, 'CLC'
'SV002753','NS043', 'HP028', 2, 2020, 'CLC'
'SV004975','NS043', 'HP028', 2, 2020, 'CLC'
'SV006565','NS043', 'HP028', 2, 2020, 'CLC'
'SV002427','NS043', 'HP028', 2, 2020, 'CLC'
'SV000410','NS043', 'HP028', 2, 2020, 'CLC'
'SV003142','NS043', 'HP028', 2, 2020, 'CLC'
'SV002010','NS043', 'HP028', 2, 2020, 'CLC'
'SV005838','NS043', 'HP028', 2, 2020, 'CLC'
'SV005302','NS043', 'HP028', 2, 2020, 'CLC'
'SV001379','NS043', 'HP028', 2, 2020, 'CLC'
'SV005658','NS043', 'HP028', 2, 2020, 'CLC'
